lemma	pos	alternation	flags	surface	krdict_ids	stdict_ids	opendict_ids	status
사사롭다	VA	BToWo			61152			productive-duplicate
사사스럽다	VA	BToWo				439911:439911001	424322:1	productive-duplicate
사삭스럽다	VA	BToWo				166969:166969001	424348:1	productive-duplicate
사위스럽다	VA	BToWo				440837:440837001	351453:1	productive-duplicate
사이좋다	VA	Regular			15896	169826:169826001	185252:1	regular-control
사치롭다	VA	BToWo					793604:1	productive-duplicate
사치스럽다	VA	BToWo			62017	172076:172076001	187388:1	productive-duplicate
사풍스럽다	VA	BToWo				165840:165840001	535175:1	productive-duplicate
산드럽다	VA	BToWo				441763:441763001	188034:1	review
산란스럽다	VA	BToWo					626251:1|626252:1	productive-duplicate
산망스럽다	VA	BToWo				169752:169752001	186588:1	productive-duplicate
살갑다	VA	BToWo			61656	171429:171429001	481102:1|484598:1|485324:1|485639:1	promoted
살강스럽다	VA	BToWo					625578:1	productive-duplicate
살닿다	VV	Regular				174773:174773001	186441:1	regular-control
살똥스럽다	VA	BToWo				169360:169360001	186651:1	productive-duplicate
살뜰스럽다	VA	BToWo					626257:1	productive-duplicate
살보드랍다	VA	BToWo					630125:1	review
살부드럽다	VA	BToWo					695269:1	review
살스럽다	VA	BToWo				178158:178158001	461466:1	productive-duplicate
살잡다	VV	Regular				169365:169365001	186452:1	regular-control
살지르다	VV	ReuDoubleL				168334:168334001	13380:1|44506:1|65234:1	review
살천스럽다	VA	BToWo				439943:439943001	186892:1	productive-duplicate
살풍경스럽다	VA	BToWo				171114:171114001	572063:1	productive-duplicate
삼가롭다	VA	BToWo					630132:1	productive-duplicate
삽삽스럽다	VA	BToWo				440761:440761001	190409:1	productive-duplicate
상그럽다	VA	BToWo				176421:176421001	190667:1	review
상냥스럽다	VA	BToWo			84076	442326:442326001	191775:1	productive-duplicate
상서롭다	VA	BToWo			61740	181961:181961001	188652:1	productive-duplicate
상서스럽다	VA	BToWo				171389:171389001	572197:1	productive-duplicate
상스럽다	VA	BToWo			61927	439417:439417001	190467:1	productive-duplicate
상패스럽다	VA	BToWo				443341:443341001	189380:1	productive-duplicate
샅바지르다	VV	ReuDoubleL				181273:181273001	189400:1	review
새겨듣다	VV	DToL			62934	181388:181388001	442217:1|445875:1	promoted
새까맣다	VA	DropH			84547	442683:442683001	13013:1|44889:1|71728:1	promoted
새롭다	VA	BToWo			29029	435588:435588001	13439:1|45396:1|65391:1	productive-duplicate
새빨갛다	VA	DropH			63345	442475:442475001	189618:1	promoted
새뽀얗다	VA	DropH				179162:179162001	535549:1	review
새살스럽다	VA	BToWo				179470:179470001	461931:1	productive-duplicate
새삼스럽다	VA	BToWo			63350	179779:179779001	515882:1|519544:1	productive-duplicate
새실스럽다	VA	BToWo				177444:177444001	535627:1	productive-duplicate
새잡다	VV	Regular				181148:181148001|181149:181149001	191462:1|352031:1	regular-control
새침스럽다	VA	BToWo			63382	175099:175099001	188734:1	productive-duplicate
새카맣다	VA	DropH			62653	444577:444577001	13272:1|45232:1|71727:1	promoted
새퉁스럽다	VA	BToWo				176324:176324001	515945:1	productive-duplicate
새파랗다	VA	DropH			62764	175063:175063001	13334:1|45295:1|65389:1|69846:1	promoted
새하얗다	VA	DropH			62700	173094:173094001	535528:1	promoted
색다르다	VA	ReuDoubleL			29033	438820:438820001	190103:1	promoted
색스럽다	VA	BToWo				178871:178871001	14305:1|45262:1	productive-duplicate
샘바르다	VA	ReuDoubleL				446394:446394001	194076:1	review
샘솟다	VV	Regular			62752	446396:446396001	194285:1	regular-control
샛노랗다	VA	DropH			62544	446755:446755001	194513:1	promoted
샛말갛다	VA	DropH				179966:179966001	194721:1	review
생경스럽다	VA	BToWo					784722:1	productive-duplicate
생광스럽다	VA	BToWo				445631:445631001	14199:1|45191:1	productive-duplicate
생급스럽다	VA	BToWo				173338:173338001	552707:1|556158:1	productive-duplicate
생기롭다	VA	BToWo			62572	169675:169675001	192741:1	productive-duplicate
생뚱스럽다	VA	BToWo				438993:438993001	194082:1	productive-duplicate
