lemma	pos	alternation	flags	overrides	derivations
덧없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=덧없이	
동트다	VV	SurfaceOnly		lexical.dictionary-conjugation=동터	
두말없다	VA	SurfaceOnly		lexical.dictionary-conjugation=두말없는	
두말없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=두말없이	
둥그렇다	VA	SurfaceOnly		lexical.dictionary-conjugation=둥그러니	
둥그렇다	VA	SurfaceOnly		lexical.dictionary-conjugation=둥그레	
듣잡다	VV	SurfaceOnly		lexical.dictionary-conjugation=듣자오니	
따사롭다	VA	SurfaceOnly		lexical.dictionary-related-adverb=따사로이	
똑같다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=똑같이	
뜬금없다	VA	SurfaceOnly		lexical.dictionary-conjugation=뜬금없는	
뜬금없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=뜬금없이	
뜻있다	VA	SurfaceOnly		lexical.dictionary-conjugation=뜻있는	
막힘없다	VA	SurfaceOnly		lexical.dictionary-conjugation=막힘없는	
막힘없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=막힘없이	
만족스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=만족스레	
많다	VA	SurfaceOnly		lexical.dictionary-related-adverb=많이	
말끔하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=말끔히	
말다	VV	SurfaceOnly		lexical.dictionary-conjugation=마오	
맛깔스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=맛깔스레	
맛없다	VA	SurfaceOnly		lexical.dictionary-conjugation=맛없는	
맛없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=맛없이	
맛있다	VA	SurfaceOnly		lexical.dictionary-conjugation=맛있는	
망령되다	VA	SurfaceOnly		lexical.dictionary-related-adverb=망령되이	
망연하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=망연히	
매끈하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=매끈히	
매정하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=매정히	
맥없다	VA	SurfaceOnly		lexical.dictionary-conjugation=맥없는	
맥없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=맥없이	
먹음직스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=먹음직스레	
멀겋다	VA	SurfaceOnly		lexical.dictionary-conjugation=멀거니	
멀겋다	VA	SurfaceOnly		lexical.dictionary-conjugation=멀게	
멋없다	VA	SurfaceOnly		lexical.dictionary-conjugation=멋없는	
멋있다	VA	SurfaceOnly		lexical.dictionary-conjugation=멋있는	
명예롭다	VA	SurfaceOnly		lexical.dictionary-related-adverb=명예로이	
못쓰다	VV	SurfaceOnly		lexical.dictionary-conjugation=못써	
문제없다	VA	SurfaceOnly		lexical.dictionary-conjugation=문제없는	
문제없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=문제없이	
물색없다	VA	SurfaceOnly		lexical.dictionary-conjugation=물색없는	
물색없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=물색없이	
물샐틈없다	VA	SurfaceOnly		lexical.dictionary-conjugation=물샐틈없는	
물샐틈없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=물샐틈없이	
미련스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=미련스레	
받아쓰다	VV	SurfaceOnly		lexical.dictionary-conjugation=받아써	
받잡다	VV	SurfaceOnly		lexical.dictionary-conjugation=받자오니	
배부르다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=배불리	
버릇없다	VA	SurfaceOnly		lexical.dictionary-conjugation=버릇없는	
버릇없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=버릇없이	
번거롭다	VA	SurfaceOnly		lexical.dictionary-related-adverb=번거로이	
벌겋다	VA	SurfaceOnly		lexical.dictionary-conjugation=벌거니	
벌겋다	VA	SurfaceOnly		lexical.dictionary-conjugation=벌게	
변함없다	VA	SurfaceOnly		lexical.dictionary-conjugation=변함없는	
변함없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=변함없이	
별다르다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=별달리	
보잘것없다	VA	SurfaceOnly		lexical.dictionary-conjugation=보잘것없는	
본뜨다	VV	SurfaceOnly		lexical.dictionary-conjugation=본떠	
볼품없다	VA	SurfaceOnly		lexical.dictionary-conjugation=볼품없는	
볼품없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=볼품없이	
부산스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=부산스레	
부지런하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=부지런히	
부질없다	VA	SurfaceOnly		lexical.dictionary-conjugation=부질없는	
부질없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=부질없이	
분명하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=분명히	
분별없다	VA	SurfaceOnly		lexical.dictionary-conjugation=분별없는	
분별없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=분별없이	
분분하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=분분히	
분수없다	VA	SurfaceOnly		lexical.dictionary-conjugation=분수없는	
분수없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=분수없이	
불같다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=불같이	
불만스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=불만스레	
